StockLevelID,DateID,ProductID,WarehouseID,StockLevel
1,20150101,1,1,9990
2,20150101,3,1,10015
3,20150101,2,1,9991
4,20150101,1,3,9986
5,20150101,3,3,10003
6,20150101,2,3,9989
7,20150101,1,2,9995
8,20150101,3,2,9994
9,20150101,2,2,10011
10,20150102,1,1,9990
11,20150102,3,1,10015
12,20150102,2,1,9991
13,20150102,1,3,9986
14,20150102,3,3,10003
15,20150102,2,3,9989
16,20150102,1,2,9995
17,20150102,3,2,9994
18,20150102,2,2,10011
19,20150103,1,1,9990
20,20150103,3,1,10015
21,20150103,2,1,9991
22,20150103,1,3,9986
23,20150103,3,3,10003
24,20150103,2,3,9989
25,20150103,1,2,9995
26,20150103,3,2,9994
27,20150103,2,2,10011
28,20150104,1,1,9990
29,20150104,3,1,10015
30,20150104,2,1,9991
31,20150104,1,3,9986
32,20150104,3,3,10003
33,20150104,2,3,9989
34,20150104,1,2,9995
35,20150104,3,2,9994
36,20150104,2,2,10011
37,20150105,1,1,9990
38,20150105,3,1,10015
39,20150105,2,1,9991
40,20150105,1,3,9986
41,20150105,3,3,10003
42,20150105,2,3,9989
43,20150105,1,2,9995
44,20150105,3,2,9994
45,20150105,2,2,10011
46,20150106,1,1,9990
47,20150106,3,1,10015
48,20150106,2,1,9991
49,20150106,1,3,9986
50,20150106,3,3,10003
51,20150106,2,3,9989
52,20150106,1,2,9995
53,20150106,3,2,9994
54,20150106,2,2,10011
55,20150107,1,1,9990
56,20150107,3,1,10015
57,20150107,2,1,9991
58,20150107,1,3,9986
59,20150107,3,3,10003
60,20150107,2,3,9989
61,20150107,1,2,9995
62,20150107,3,2,9994
63,20150107,2,2,10011
64,20150108,1,1,9990
65,20150108,3,1,10015
66,20150108,2,1,9991
67,20150108,1,3,9986
68,20150108,3,3,10003
69,20150108,2,3,9989
70,20150108,1,2,9995
71,20150108,3,2,9994
72,20150108,2,2,10011
73,20150109,1,1,9990
74,20150109,3,1,10015
75,20150109,2,1,9991
76,20150109,1,3,9986
77,20150109,3,3,10003
78,20150109,2,3,9989
79,20150109,1,2,9995
80,20150109,3,2,9994
81,20150109,2,2,10011
82,20150110,1,1,9990
83,20150110,3,1,10015
84,20150110,2,1,9991
85,20150110,1,3,9986
86,20150110,3,3,10003
87,20150110,2,3,9989
88,20150110,1,2,9995
89,20150110,3,2,9994
90,20150110,2,2,10011
91,20150111,1,1,9990
92,20150111,3,1,10015
93,20150111,2,1,9991
94,20150111,1,3,9986
95,20150111,3,3,10003
96,20150111,2,3,9989
97,20150111,1,2,9995
98,20150111,3,2,9994
99,20150111,2,2,10011
100,20150112,1,1,9990
101,20150112,3,1,10015
102,20150112,2,1,9991
103,20150112,1,3,9986
104,20150112,3,3,10003
105,20150112,2,3,9989
106,20150112,1,2,9995
107,20150112,3,2,9994
108,20150112,2,2,10011
109,20150113,1,1,9990
110,20150113,3,1,10015
111,20150113,2,1,9991
112,20150113,1,3,9986
113,20150113,3,3,10003
114,20150113,2,3,9989
115,20150113,1,2,9995
116,20150113,3,2,9994
117,20150113,2,2,10011
118,20150114,1,1,9990
119,20150114,3,1,10015
120,20150114,2,1,9991
